slug,department,Total,White,Black,Hispanic,Native American,Asian,Other,year,checked
rates--totals--all-stops,St Louis City Police Dept,23717,8909,13655,645,32,202,274,2024,1
search--probable-cause--incident-to-arrest,Randolph County Sheriff's Dept,18,11,6,1,0,0,0,2024,1
search--what-searched--driver,Randolph County Sheriff's Dept,10,8,2,0,0,0,0,2024,1
search--what-searched--car-property,Randolph County Sheriff's Dept,33,30,3,0,0,0,0,2024,1
search--contraband-found--drugs,Audrain County Sheriff's Dept,10,9,0,1,0,0,0,2024,1
stops--arrest-violation--dwi-bac,Barry County Sheriff's Dept,1,0,0,1,0,0,0,2024,1
rates--totals--all-stops,Adair County Sheriff's Dept,317,281,25,8,0,2,1,2023,1
rates--totals--resident-stops,Adair County Sheriff's Dept,196,171,20,3,0,2,0,2023,1
rates--totals--searches,Adair County Sheriff's Dept,5,4,1,0,0,0,0,2023,1
rates--totals--contraband,Adair County Sheriff's Dept,1,1,0,0,0,0,0,2023,1
rates--totals--arrests,Adair County Sheriff's Dept,3,2,1,0,0,0,0,2023,1
rates--totals--citations,Adair County Sheriff's Dept,29,22,5,2,0,0,0,2023,1
rates--rates--stop-rate,Adair County Sheriff's Dept,1.49,1.48,3.47,1.5,0,0.47,0.15,2023,1
rates--rates--stop-rate-residents,Adair County Sheriff's Dept,0.92,0.9,2.77,0.56,0,0.47,0,2023,1
rates--rates--search-rate,Adair County Sheriff's Dept,1.58,1.42,4,0,,0,0,2023,1
rates--rates--contraband-hit-rate,Adair County Sheriff's Dept,20,25,0,,,,,2023,1
rates--rates--arrest-rate,Adair County Sheriff's Dept,0.95,0.71,4,0,,0,0,2023,1
rates--rates--citation-rate,Adair County Sheriff's Dept,9.15,7.83,20,25,,0,0,2023,1
stops-resident-stops,Lake Winnebago Police Dept,109,105,1,0,0,0,3,2023,1
rates--totals--all-stops,St Louis City Police Dept,27742,10077,16424,551,50,241,399,2023,1
rates--rates--stop-rate,St Louis City Police Dept,11.18,8.44,16.01,5.92,9.75,2.56,3.15,2023,1
rates--rates--search-rate,Benton County Sheriff's Dept,20.47,20.08,25,33.33,,,,2023,1
rates--rates--stop-rate,Benton County Sheriff's Dept,3.09,3.17,11.85,2.73,0,0,0,2023,1
stops--stop-outcome--warning,St James Police Dept,1540,1402,76,34,6,13,9,2023,1
stops--officer-assignment--general-parol,St Joseph Police Dept,7264,5762,949,449,6,36,62,2023,1
stops--officer-assignment--general-parol,Adair County Sheriff's Dept,256,226,19,8,0,2,1,2023,1
rates--totals--all-stops,St Louis City Police Dept,32586,12161,18841,621,38,309,616,2022,1
rates--totals--all-stops,Ash Grove Police Dept,431,419,7,3,0,1,1,2022,1
search--probable-cause--consent,Audrain County Sheriff's Dept,95,85,9,1,0,0,0,2022,1
search--arrest-charge--resist-arrest,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
search--probable-cause--reas-susp-weapon,Fair Grove Police Dept,3,3,0,0,0,0,0,2020,0
search--search-duration--31-minutes,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
stops--stop-outcome--warning,Fair Grove Police Dept,432,414,9,7,1,0,1,2020,0
search--arrest-charge--off-against-person,Fair Grove Police Dept,0,0,0,0,0,0,0,2020,0
stops-non-resident-stops,Fair Grove Police Dept,344,319,11,8,3,1,2,2020,0
search--arrest-charge--outstanding-warrant,Fair Grove Police Dept,9,9,0,0,0,0,0,2020,0
disparity-index-by-race--population--2019-population,Fair Grove Police Dept,1057,1037,0,13,0,4,6,2020,0
stops--reason-for-stop--equpiment,Fair Grove Police Dept,89,86,1,1,0,0,1,2020,0
stops--location-of-stop--city-street,Fair Grove Police Dept,286,278,3,4,1,0,0,2020,0
stops--reason-for-stop--moving,Fair Grove Police Dept,310,298,5,6,1,0,0,2020,0
search--probable-cause--consent,Fair Grove Police Dept,21,19,0,1,1,0,0,2020,0
stops--stop-outcome--contraband,Fair Grove Police Dept,19,16,1,1,1,0,0,2020,0
search--contraband-found--drugs-alcohol,Fair Grove Police Dept,18,15,1,1,1,0,0,2020,0
